Features,Model,Forecasting window,RMSE,MAPE,MAE
Keywords + Lag,ARIMAX,63,4488.78,0.12,3243.87
Keywords + Lag,ARIMAX,64,2019.04,0.07,1830.96
Keywords + Lag,ARIMAX,65,1353.1,0.04,1112.47
Keywords + Lag,ARIMAX,66,5350.42,0.14,4933.59
Bijtelling + Lag,Linear Regression,1,573.11,1.77,526.5
Bijtelling + Lag,Linear Regression,2,335.05,1.23,328.37
Bijtelling + Lag,Linear Regression,3,244.17,1.04,239.62
Bijtelling + Lag,Linear Regression,4,69.59,0.1,45.5
Bijtelling + Lag,Linear Regression,5,55.82,0.09,48.48
Bijtelling + Lag,Linear Regression,6,47.92,0.12,41.02
Bijtelling + Lag,Linear Regression,7,61.29,0.18,60.86
Bijtelling + Lag,Linear Regression,8,113.44,0.12,87.95
Bijtelling + Lag,Linear Regression,9,151.81,0.21,147.64
Bijtelling + Lag,Linear Regression,10,105.16,0.32,84.79
Bijtelling + Lag,Linear Regression,11,165.99,0.28,136.12
Bijtelling + Lag,Linear Regression,12,165.55,0.16,136.84
Bijtelling + Lag,Linear Regression,13,127.52,0.14,107.61
Bijtelling + Lag,Linear Regression,14,248.25,0.37,245.61
Bijtelling + Lag,Linear Regression,15,235.98,0.29,203.0
Bijtelling + Lag,Linear Regression,16,109.5,0.11,104.55
Bijtelling + Lag,Linear Regression,17,206.99,0.18,132.17
Bijtelling + Lag,Linear Regression,18,245.25,0.44,241.26
Bijtelling + Lag,Linear Regression,19,272.13,0.53,269.3
Bijtelling + Lag,Linear Regression,20,104.21,0.12,103.14
Bijtelling + Lag,Linear Regression,21,89.04,0.1,87.35
Bijtelling + Lag,Linear Regression,22,504.54,0.36,443.37
Bijtelling + Lag,Linear Regression,23,598.63,0.81,552.1
Bijtelling + Lag,Linear Regression,24,616.09,0.44,574.49
Bijtelling + Lag,Linear Regression,25,258.72,0.12,178.71
Bijtelling + Lag,Linear Regression,26,483.67,0.15,287.85
Bijtelling + Lag,Linear Regression,27,224.29,0.17,209.29
Bijtelling + Lag,Linear Regression,28,198.36,0.14,192.19
Bijtelling + Lag,Linear Regression,29,60.06,0.04,57.12
Bijtelling + Lag,Linear Regression,30,146.83,0.11,119.52
Bijtelling + Lag,Linear Regression,31,298.6,0.24,266.62
Bijtelling + Lag,Linear Regression,32,83.07,0.05,73.75
Bijtelling + Lag,Linear Regression,33,183.89,0.11,156.45
Bijtelling + Lag,Linear Regression,34,135.54,0.09,123.46
Bijtelling + Lag,Linear Regression,35,253.78,0.1,184.55
Bijtelling + Lag,Linear Regression,36,352.34,0.14,298.95
Bijtelling + Lag,Linear Regression,37,372.5,0.15,338.75
Bijtelling + Lag,Linear Regression,38,993.49,0.22,750.95
Bijtelling + Lag,Linear Regression,39,251.5,0.06,171.1
Bijtelling + Lag,Linear Regression,40,488.79,0.11,380.84
Bijtelling + Lag,Linear Regression,41,368.43,0.09,357.59
Bijtelling + Lag,Linear Regression,42,1417.93,0.16,1090.98
Bijtelling + Lag,Linear Regression,43,1424.87,0.25,1200.17
Bijtelling + Lag,Linear Regression,44,1455.08,0.19,1235.81
Bijtelling + Lag,Linear Regression,45,2205.31,0.21,1773.32
Bijtelling + Lag,Linear Regression,46,8587.34,0.42,6733.06
Bijtelling + Lag,Linear Regression,47,18617.84,1.99,14866.88
Bijtelling + Lag,Linear Regression,48,20815.49,2.99,20420.27
Bijtelling + Lag,Linear Regression,49,3025.59,0.26,2896.07
Bijtelling + Lag,Linear Regression,50,12917.06,0.35,9234.71
Bijtelling + Lag,Linear Regression,51,12344.03,1.3,11544.54
Bijtelling + Lag,Linear Regression,52,1001.61,0.08,938.04
Bijtelling + Lag,Linear Regression,53,2274.23,0.14,2057.25
Bijtelling + Lag,Linear Regression,54,7235.76,0.18,4839.89
Bijtelling + Lag,Linear Regression,55,2936.65,0.18,2547.23
Bijtelling + Lag,Linear Regression,56,889.17,0.05,841.71
Bijtelling + Lag,Linear Regression,57,2234.26,0.11,1716.99
Bijtelling + Lag,Linear Regression,58,2937.42,0.16,2815.92
Bijtelling + Lag,Linear Regression,59,3993.43,0.11,2631.51
